,tweet
10,"Police busted the illegal drug activities of a female drug suspect inside Balintawak Market.
Reas more: https://t.co/MWKCAnFG48

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/XRG91Rb9Rw"
11,"A municipal-level most wanted person in Bohol was finally arrested.

Read more: https://t.co/PebjnlVRJL

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/9zyZLWmTPS"
12,"A lawful search ordered by the Court was implemented by operatives in a private residence in General Santos City.

Read more: https://t.co/BDq2KhcrLU

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/fJASghKHJu"
13,"The PNP led by OIC, PNP PLtGen Danao Jr. welcomes the new Secretary of the DILG, Atty Benjamin C. Abalos Jr.

Read more: https://t.co/78PmyOPRFp

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/xCgc9cpWTf"
14,"The PNP under the leadership of its OIC, PLtGen Danao Jr expresses commitment to the new administration in achieving national aspirations of unity, stability, justice, nationalism and development towards a better Philippines.

#WeServeAndProtect
#PNPKakampiMo https://t.co/KWsWsI0feO"
15,"A member of a CTG with a string of criminal cases was arrested.
Read more: https://t.co/7nGppUeeVV

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/ZHlV4VQvww"
16,"Almost P2-million worth of illegal drugs were seized in two separate buy-bust operations in Cebu City over the weekend.

Read more: https://t.co/30WXs2JogP

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/0hWd3gsco8"
17,"Police authorities in Central Visayas scored another successful anti-illegal drugs operation with the arrest of a notorious drug trafficker in Lapu-Lapu City.
Read more: https://t.co/OIhb1ne6Af

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/G46YXl7n7H"
18,"Tagbilaran City Police Station launched a police operation in Barangay Dao and arrested two key drug players.

Read more: https://t.co/oa6td6K8DL

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/47bw4y9GVe"
19,"Three drug suspects were apprehended in a drug buy-bust operation in Brgy Carmen, Cagayan de Oro City.

Read more: https://t.co/tRAYDVhxeZ

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/odl72dvG8v"
20,"Nine crew members of a motorized boat were arrested after some smuggled cigarettes were found loaded in their sea vessel off the coast of Brgy. Ayala, Zamboanga City.
Read more: https://t.co/dH3bZktpQo

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/tSwRT0x9IU"
21,"Police anti-narcotics and maneuver forces raided another clandestine Marijuana farm in Tugaya, Lanao Del Sur and destroyed some 3,000 fully grown Marijuana plants.

Read more: https://t.co/9GeLhHps7f

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/bUBNEroxdV"
22,"A 45-year-old drug suspect was arrested in Babag, Lapu-Lapu City, Cebu.

Read more: https://t.co/XUlRXCwun2

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/G3G89dD1u8"
23,"After putting-up violent resistance to a lawful arrest, an illegal drug key player was shot dead during an armed confrontation with arresting officers.

Read more: https://t.co/35BCIlaVPO

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/1iLW2F1c0l"
24,"Prompt police response to an actionable information resulted to a successful anti-smuggling operation when police authorities in Zamboanga City foiled an attempt to import smuggled tobacco products.

Read more: https://t.co/KX2zuZyNw6

#WeServeAndProtect
#PNPKakampiMo https://t.co/tvHzHeVMsu"
25,"A 30-year-old online seller was busted in an anti-illegal drug operation in Barangay Baliwasan, Zamboanga City.

Read more: https://t.co/FbpU6qOCZO
#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/MVMEf63FaO"
26,"P1.36-million worth of 200 grams of shabu and P168,000 worth of 120 grams of Kush dried leaves were seized in a buy-bust operation.
Read more: https://t.co/nhsCeUcyWy
#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/sfFe2a18H7"
27,"A police operation was conducted at the Cultural Center of the Philippines, Bay Terminal Parking Lot, Brgy. 720, Malate, Manila.
Read more: https://t.co/p6jc7aO1kG

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/6CYKmD4CJN"
28,"A major drug player in the illicit drug trade in Bacolod City was busted on a sting operation on Tuesday, July 5.

Read more:
https://t.co/UYQBUl91JR
#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/tTXJM1gbyv"
29,"Elements of Special Operations Unit BAR, PNP DEG, with RID-RDEU, 1403rd RMFC/RMFB 14, and Tugaya Municipal Police Station jointly trooped to Barangay Bago A Ingud, Tugaya, Lanao del Sur where a Marijuana plantation was discovered.

Read more: https://t.co/IJSwkRKz3v https://t.co/utJ97TTdBP"
30,"Two persons accused of Murder surrendered to police authorities at Wao Municipal Police Station in Wao, Lanao De Sur.

Read more: https://t.co/2GV5OnfeMQ

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/Islmoi2V3T"
31,"The PNP actively responded to an information from a reliable source pertaining to a drug personality allegedly engaged in drug trafficking activity.
Read more: https://t.co/hfBW8MrR4Z

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/gQuLhQUOs6"
32,"PNP OIC PLTGEN Vicente D Danao Jr lauded the successful anti-illegal drug operation.
Read more: https://t.co/AmZt7MlTdx

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/c6n54YLwsj"
33,"Awarding of PNP personnel ang 27th PCR kick off month.
Read more: https://t.co/jHq94q99ep

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/JxKVWTXAgs"
34,"Another CTG member who is wanted for the crime of frustrated murder falls in successful law enforcement operation.

Read more: https://t.co/OeZhObWmxJ

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/8ssTlifsCc"
35,"PNP commandos arrested a communist terrorist during a police operation in Miag-ao, Iloilo.
Read more: https://t.co/lLVnborrKO

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/Q69J5U5wUT"
36,"Attentive police personnel manning a checkpoint intercepted three armed men during dragnet operations in response to a robbery incident.
Read more: https://t.co/nXuzMnYfTT

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/FGYnzZKGXF"
37,"An inter-agency effort among the PDEA, Philippine Navy and NICA busted a local drug trafficking network.
Read more: https://t.co/eOXwmL9Y6z

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/jJ1qneOCJy"
38,"Police investigators are looking deeper into the source of a box of Marijuana coming from an ill-fated vehicle in Kennon Road, Tuba, Benguet.
Read more: https://t.co/yIEFgReo4x

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/QBlq6vx4Kd"
39,"We can always make everyday as a police-community relations day sa ating mga men in uniform.

Read more: https://t.co/L5wBnlYvTv

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/TGKUOpUOpE"
40,"A 34-year-old drug suspect was arrested in a buy-bust operation on Saturday evening in Bacolod City, Negros Occidental.

Read more: https://t.co/7wywFNE14r

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/P5Wr09VqGy"
41,"A 33-year-old Chinese national was arrested during the joint  anti-illegal drug operation in Barangay Lourdes, Quezon City.
Read more: https://t.co/43khiqdr2j

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/M731ASgla1"
42,"Two female drug suspects were arrested in a buy-bust operation in Brgy. Zapote, Las PiÃ±as City.
Read more: https://t.co/dcYpgeoyQU

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/yjAkoPjp49"
43,"PNP assures total support to PBBM programs

Read more: https://t.co/IIzuBD6Izm

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/TVYwo8ddr5"
44,"The PMP's aggressive campaign against criminality in Luzon yielded over P4.4 million worth of shabu.

Read more: https://t.co/lC34BWTxG2

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/9WxNMQzbaa"
45,"Another high value drug personality in Lapu-Lapu City was arrested in anti-illegal drug operation on Friday morning which yielded Php340,000.00 worth of suspect shabu.

Read more: https://t.co/XsvfG6YDI9

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/7gcwF8pbyv"
46,"Two members of a private armed group yielded to police authorities 
on Wednesday, June 29, in Brgy Damag, Marawi City.
Read more: https://t.co/5ViLAGJuc4

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/vgwPuXxyaz"
47,"Citing reports culled by the PNP Command Center, PNP OIC, PLtGen Danao Jr. noted no significant untoward incident in Manila and other locations nationwide during the inauguration day.
Read more: https://t.co/EKfi0dJQ9h

#WeServeAndProtect
#PNPKakampiMo https://t.co/QbvMTv2DlV"
48,"A 43-year-old suspect was arrested in a buy-bust operation in his residence.

Read more: https://t.co/EfOab17hQs

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrimqG https://t.co/SacOHbESLn"
49,"Three drug suspects were arrested in a buy-bust operation in Penaranda, Nueva Ecija.

Read more: https://t.co/Iw0LmSG0DB

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrimqG https://t.co/VfRXeeJMKi"
50,"PNP, other security forces activate emergency hotline numbers for the presidential inauguration event.

Read more: https://t.co/G3qEIedt2e

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/Cogmp8nqgE"
51,"PNP Drug Enforcement Group celebrates with the PNP OIC, PLTGen Vicente D Danao Jr it's 5th Founding Anniversary

Read more: https://t.co/BoKBdrVBHQ

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/6LpvpixKQa"
52,"PNP urges guests and attendees to help keep the presidentâs inauguration peaceful and safe

Read more: https://t.co/xEye7rQrqY

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/YXYYwdWjsm"
53,"PNP honors rookie copâs bravery vs. kidnappers.

Read more: https://t.co/M7erhtC3K1

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/b4emWkuQRE"
54,"SILG AÃ±o: all hands on deck for peaceful and orderly presidential inauguration.

Read more: https://t.co/5PFbdR5iEm

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/e1BjHvAtQV"
55,"LOOK: OIC, PNP PltGen Danao Jr. visits the wake of late  Patrolman Joshua Linggayo.

Read more: https://t.co/klPE8U6LTV

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
 #LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/6979PH74pg"
56,"PNP TO PUT-UP SECURITY CONTROL POINTS ALONG ROADS LEADING TO INAUGURATION RITES

Read more: https://t.co/mrm3GW2IRI

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/2yoooR2jYO"
57,"PNP DISCOURAGES INAUGURATION DAY MASS ACTIONS

Read more: https://t.co/m5sPCxwJCc

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/mO0sKRTGgb"
58,"OIC PNP, PLTGEN Vicente D Danao Jr., conferred the Institutionalized Status to Police Regional Office 12.
Read more: https://t.co/GXHlJ2GV0g

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/jilVCTUHWJ"
59,"A member of the extremist Abu Sayyaf Group,  wanted for a series of criminal cases was finally arrested by police authorities.
Read more: https://t.co/BbiMu2zJZu

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/n8yaSLUL2D"
60,"Joint clearing operations of clandestine marijuana plantations by PDEA and Police operatives netted P62M worth of fully grown marijuana plants.
Read more: https://t.co/uBiY29wv9N

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/29GhFyNgMp"
61,"A metrowide suspension of gun-carrying privileges took effect at past midnight this morning and will remain enforced until July 2, 2022.
Read more: https://t.co/yvHDqZwHOD

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/iAOxxxWb4Z"
62,"OIC, PNP PLtGen Danao Jr seeks public cooperation to effectively accomplish the mutual goal for the success of the inauguration of the 17th President of the Republic of the Philippines, President Ferdinand âBongbongâ Marcos on June 30, 2022. https://t.co/a5qm6VQMfE"
63,"The PNP warned the public against posting sexist comments in online platforms that may constitute sexual harassment.

Read more: https://t.co/LCwdckuTPj

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/LvgOlaK2Nj"
64,"Two drug suspects, both under the PNP watchlist were arrested in a police operation.
Read more: https://t.co/xoIcF3CfT4

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/f6Yx44Liuc"
65,"A 40-year-old suspect was arrested by authorities at Brgy. Cantorna, Monreal, Masbate early this morning for illegal possession of firearm and ammunition.

Read more: https://t.co/lTh9cZYdPZ

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/9XUFK2mNqe"
66,"Joint Operations by Southern Luzon police operatives and PDEA arrested another drug personality in possession of Php3,440,800.00 worth of shabu.
Read more: https://t.co/YMP4jm5usu

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/OUqhxtqF6Z"
67,"IN PHOTOS: PMGEN BENJAMIN D SANTOS JR, The Director for Comptrollership, PNP during the Salamat Kapatid Program held today, June 24, 2022.

Read more: https://t.co/AQ3s14iP63

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/jeonCTe6Rv"
68,"A wanted member of the communist terrorist group died during an armed encounter with the police.

Read more: https://t.co/wIGJi4D9UP

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/1AFz94fVpw"
69,"A 47-year old suspect was arrested for alleged Grave Threats and Illegal Possession of Firearm.

Read more: https://t.co/focmY4etKO

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/e3bygrI8n4"
70,"A 22 year-old high value individual was arrested by the police and P340K worth of illegal drugs were confiscated.

Read more: https://t.co/cDk0Sv2jyP

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/mj1H1Vrv29"
71,"Anti-criminality law enforcement operations were  launched on Thursday, June 23, in Barangay Tulling, Siasi, Sulu that resulted to the arrest of nine wanted persons.

Read more: https://t.co/ho5tPJ0iAt

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/K4lcngVKMX"
72,"Police operatives in Benguet spearheaded another major Marijuana eradication operation.
Read more: https://t.co/uISoiaFP7B

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna
https://t.co/txtYyrzpsG https://t.co/ASzlJVbUiR"
73,"A recent anti-illegal drug operation in Brgy 23-C Davao City gained ground anew in the anti-criminality campaign.

Read more: https://t.co/1XyccCAjY9

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/HUAOJ0t09q"
74,"The relentless campaign against illegal drugs ramped-up another major accomplishment with the arrest of a 27 year-old high-value individual in Cebu.

Read more: https://t.co/JnuTYnGSnB

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit https://t.co/lPXeLelVNe"
75,"A seaborne patrol operation off Manilapa island, Zamboanga City resulted to the seizure of smuggled cigarettes from a motorized boat.

Read more: https://t.co/JHkryAXmev

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/RXEaSvL8dz"
76,"Operatives from Davao City Police Station 16 arrested a certain Daryl Alvarez for violation of Republic Act 9165 and Republic 10591.

Read more: https://t.co/IFvVfXxsu8

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/2MvEOnPJOt"
77,"PNP Finance Service 82nd Founding Anniversary

Read more: https://t.co/HpgXoPXfpz

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/4TYKYrMWP4"
78,"Sec. EDUARDO M. AÃO as Guest of Honor and Speaker during the Monday Flag Raising Ceremony, June 20, 2022.

Read more: https://t.co/Xf2zqCI05M

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/inZOmQMJZE"
79,"Police anti-illegal drugs operatives swooped down on four clandestine Cannabis farms in two barangays in Lanao del Sur.

Read more: https://t.co/IJCh3Jsdpd

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna https://t.co/rAndv2BDnu"
80,"A major player for illegal drugs was arrested in North Poblacion Maramag, Bukidnon.
Read more: https://t.co/99zupvEXZ1

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/VbV6KOgFxt"
81,"The PNP has acquired more police vehicles as part of PNPâs continued logistical enhancement program in support of field operations.

Read more: https://t.co/pK4oqkhpC2

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/YgQBO2Z2oM"
82,"Seven suspects were arrested in a drug buy-bust operation in Upper Bicutan, Taguig City.

Read more: https://t.co/fjKMCwyMhE

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG https://t.co/CC8Fo7P53v"
83,"Another high value drug personality trafficking illegal drugs was arrested by authorities in a buy-bust operation in Talisay City, Cebu.

Read more: https://t.co/HCLsIelblL

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista https://t.co/cwRre731lM"
84,"PNP: Incoming VP inauguration generally peaceful.
Read more: https://t.co/oUB1koniOd

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM
https://t.co/5VdvBtq9gC https://t.co/CWYMQmuD1k"
85,"Confiscated from the group were a 9mm pistol and a shotgun.

Read more: https://t.co/kVphLBJe3t

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/wR58TibX1f"
86,"More than P1 million worth of illegal drugs were seized in a buy-bust.

Read more: https://t.co/hh8YC7NrrK

#WeServeAndProtect
#PNPKakampiMo
#SerbisyongTAMATapatMayTapangAtMalasakit
#LabanSaKomunistangTerorista
#PilipinasMuna

https://t.co/txtYyrzpsG
https://t.co/Et8tu4J5hM https://t.co/UCOOtwatfV"
87,"LOOK: OIC, PNP PLTGEN Danao confers Medalya ng Sugatang Magiting to the wounded AKG operative in recognition of his bravery and sacrifice during the rescue operations of the two kidnapped Chinese-Filipino male victims in CALABARZON.

#WeServeAndProtect
#PNPKakampiMo https://t.co/YYNVnhSosj"
